timestamp,open_basis,close_basis
2024-06-13T00:00:00,-0.0093,-0.0208
2024-06-14T00:00:00,-0.0206,0.0065
2024-06-15T00:00:00,0.0065,0.022
2024-06-16T00:00:00,0.022,0.0349
2024-06-17T00:00:00,0.035,0.0485
2024-06-18T00:00:00,0.0485,0.0389
2024-06-19T00:00:00,0.039,0.0628
2024-06-20T00:00:00,0.0625,0.0247
2024-06-21T00:00:00,0.0247,0.0305
2024-06-22T00:00:00,0.0303,0.0343
2024-06-23T00:00:00,0.0341,0.0239
2024-06-24T00:00:00,0.0238,0.0327
2024-06-25T00:00:00,0.0329,0.0457
2024-06-26T00:00:00,0.0455,0.008
2024-06-27T00:00:00,0.008,0.0397
2024-06-28T00:00:00,0.0395,-0.0032
2024-06-29T00:00:00,-0.0032,0.007
2024-06-30T00:00:00,0.0069,0.0096
2024-07-01T00:00:00,0.0094,0.0261
2024-07-02T00:00:00,0.0259,0.0191
2024-07-03T00:00:00,0.0193,0.001
2024-07-04T00:00:00,0.0009,0.0072
2024-07-05T00:00:00,0.0072,0.0422
2024-07-06T00:00:00,0.0422,0.0243
2024-07-07T00:00:00,0.0243,0.0482
2024-07-08T00:00:00,0.048,0.0498
2024-07-09T00:00:00,0.0498,0.0462
2024-07-10T00:00:00,0.0464,0.0327
2024-07-11T00:00:00,0.0327,0.0426
2024-07-12T00:00:00,0.0422,0.033
2024-07-13T00:00:00,0.033,0.0507
2024-07-14T00:00:00,0.0509,0.0525
2024-07-15T00:00:00,0.0525,0.0673
2024-07-16T00:00:00,0.0672,0.0523
2024-07-17T00:00:00,0.0523,0.0504
2024-07-18T00:00:00,0.0503,0.0438
2024-07-19T00:00:00,0.0437,0.0482
2024-07-20T00:00:00,0.0482,0.0661
2024-07-21T00:00:00,0.0661,0.0401
2024-07-22T00:00:00,0.0401,0.0486
2024-07-23T00:00:00,0.0486,0.0297
2024-07-24T00:00:00,0.0299,0.0386
2024-07-25T00:00:00,0.0387,0.041
2024-07-26T00:00:00,0.041,0.0376
2024-07-27T00:00:00,0.0376,0.0334
2024-07-28T00:00:00,0.0336,0.0504
2024-07-29T00:00:00,0.0504,0.052
2024-07-30T00:00:00,0.0518,0.0434
2024-07-31T00:00:00,0.0434,0.0406
2024-08-01T00:00:00,0.0406,0.0385
2024-08-02T00:00:00,0.0383,0.0238
2024-08-03T00:00:00,0.0238,0.0221
2024-08-04T00:00:00,0.0222,0.0284
2024-08-05T00:00:00,0.0284,0.0291
2024-08-06T00:00:00,0.0284,0.055
2024-08-07T00:00:00,0.0548,0.0567
2024-08-08T00:00:00,0.0564,0.0425
2024-08-09T00:00:00,0.0425,0.0483
2024-08-10T00:00:00,0.0483,0.0552
2024-08-11T00:00:00,0.0554,0.0332
2024-08-12T00:00:00,0.0332,0.0388
2024-08-13T00:00:00,0.0387,0.0605
2024-08-14T00:00:00,0.0607,0.0602
2024-08-15T00:00:00,0.0602,0.0523
2024-08-16T00:00:00,0.0521,0.0335
2024-08-17T00:00:00,0.0335,0.0395
2024-08-18T00:00:00,0.0395,0.064
2024-08-19T00:00:00,0.0638,0.0673
2024-08-20T00:00:00,0.0675,0.0524
2024-08-21T00:00:00,0.0527,0.0589
2024-08-22T00:00:00,0.0589,0.043
2024-08-23T00:00:00,0.043,0.0271
2024-08-24T00:00:00,0.0269,0.0632
2024-08-25T00:00:00,0.063,0.0464
2024-08-26T00:00:00,0.0466,0.042
2024-08-27T00:00:00,0.0419,0.0514
2024-08-28T00:00:00,0.0515,0.0422
2024-08-29T00:00:00,0.0422,0.0604
2024-08-30T00:00:00,0.0602,0.0469
2024-08-31T00:00:00,0.0467,0.0544
2024-09-01T00:00:00,0.0545,0.059
2024-09-02T00:00:00,0.0586,0.0339
2024-09-03T00:00:00,0.0337,0.0624
2024-09-04T00:00:00,0.0622,0.045
2024-09-05T00:00:00,0.045,0.0611
2024-09-06T00:00:00,0.0611,0.0654
2024-09-07T00:00:00,0.0654,0.048
2024-09-08T00:00:00,0.048,0.0553
2024-09-09T00:00:00,0.0553,0.0561
2024-09-10T00:00:00,0.056,0.0467
2024-09-11T00:00:00,0.0465,0.0558
2024-09-12T00:00:00,0.0565,0.0608
2024-09-13T00:00:00,0.0606,0.0691
2024-09-14T00:00:00,0.0691,0.0484
2024-09-15T00:00:00,0.0486,0.0533
2024-09-16T00:00:00,0.0533,0.0464
2024-09-17T00:00:00,0.0466,0.0547
2024-09-18T00:00:00,0.0547,0.04
2024-09-19T00:00:00,0.0401,0.0335
2024-09-20T00:00:00,0.0335,0.0401
2024-09-21T00:00:00,0.04,0.0448
2024-09-22T00:00:00,0.0448,0.032
2024-09-23T00:00:00,0.0319,0.06
2024-09-24T00:00:00,0.0599,0.0305
2024-09-25T00:00:00,0.0304,0.0532
2024-09-26T00:00:00,0.0534,0.0534
2024-09-27T00:00:00,0.0536,0.031
2024-09-28T00:00:00,0.0311,0.0538
2024-09-29T00:00:00,0.0536,0.0517
2024-09-30T00:00:00,0.0516,0.0292
2024-10-01T00:00:00,0.0294,0.0477
2024-10-02T00:00:00,0.0464,0.044
2024-10-03T00:00:00,0.0438,0.042
2024-10-04T00:00:00,0.0422,0.0509
2024-10-05T00:00:00,0.0511,0.0563
2024-10-06T00:00:00,0.0563,0.0488
2024-10-07T00:00:00,0.0489,0.0535
2024-10-08T00:00:00,0.0537,0.0463
2024-10-09T00:00:00,0.0462,0.0489
2024-10-10T00:00:00,0.049,0.055
2024-10-11T00:00:00,0.0549,0.0496
2024-10-12T00:00:00,0.0496,0.0478
2024-10-13T00:00:00,0.0479,0.0481
2024-10-14T00:00:00,0.0482,0.0289
2024-10-15T00:00:00,0.0289,0.0448
2024-10-16T00:00:00,0.045,0.0414
2024-10-17T00:00:00,0.0414,0.0301
2024-10-18T00:00:00,0.0302,0.0295
2024-10-19T00:00:00,0.0295,0.0306
2024-10-20T00:00:00,0.0306,0.0172
2024-10-21T00:00:00,0.0171,0.0129
2024-10-22T00:00:00,0.0131,0.0291
2024-10-23T00:00:00,0.0289,0.0322
2024-10-24T00:00:00,0.032,0.0359
2024-10-25T00:00:00,0.0359,0.0533
2024-10-26T00:00:00,0.0534,0.0313
2024-10-27T00:00:00,0.0311,0.0428
2024-10-28T00:00:00,0.0426,0.0318
2024-10-29T00:00:00,0.0319,-0.0042
2024-10-30T00:00:00,-0.0042,-0.0059
2024-10-31T00:00:00,-0.0059,-0.0425
2024-11-01T00:00:00,-0.0425,0.0007
2024-11-02T00:00:00,0.0009,0.0117
2024-11-03T00:00:00,0.0117,0.0196
2024-11-04T00:00:00,0.0198,0.0232
2024-11-05T00:00:00,0.023,0.0273
2024-11-06T00:00:00,0.0273,-0.0105
2024-11-07T00:00:00,-0.0105,-0.002
2024-11-08T00:00:00,-0.002,0.0361
2024-11-09T00:00:00,0.0361,0.0031
2024-11-10T00:00:00,0.0031,-0.0497
2024-11-11T00:00:00,-0.0496,-0.0912
2024-11-12T00:00:00,-0.0913,-0.0227
2024-11-13T00:00:00,-0.0227,-0.0421
2024-11-14T00:00:00,-0.0421,-0.0654
2024-11-15T00:00:00,-0.0652,-0.0467
2024-11-16T00:00:00,-0.0467,-0.0622
2024-11-17T00:00:00,-0.0609,-0.0488
2024-11-18T00:00:00,-0.049,-0.0479
2024-11-19T00:00:00,-0.0479,-0.0272
2024-11-20T00:00:00,-0.0272,-0.0015
2024-11-21T00:00:00,-0.0015,-0.0505
2024-11-22T00:00:00,-0.0505,-0.0297
2024-11-23T00:00:00,-0.0298,-0.0543
2024-11-24T00:00:00,-0.0544,-0.0616
2024-11-25T00:00:00,-0.0617,-0.058
2024-11-26T00:00:00,-0.0581,-0.0611
2024-11-27T00:00:00,-0.0612,-0.0439
2024-11-28T00:00:00,-0.0439,-0.0527
2024-11-29T00:00:00,-0.0527,-0.0577
2024-11-30T00:00:00,-0.0576,-0.0696
2024-12-01T00:00:00,-0.0697,-0.0822
2024-12-02T00:00:00,-0.0821,-0.052
2024-12-03T00:00:00,-0.0521,-0.0663
2024-12-04T00:00:00,-0.0663,-0.0836
2024-12-05T00:00:00,-0.0836,-0.0576
2024-12-06T00:00:00,-0.0577,-0.0618
2024-12-07T00:00:00,-0.0618,-0.0673
2024-12-08T00:00:00,-0.0673,-0.0893
2024-12-09T00:00:00,-0.0894,-0.0746
2024-12-10T00:00:00,-0.0746,-0.0097
2024-12-11T00:00:00,-0.0096,0.0096
2024-12-12T00:00:00,0.0096,0.0219
2024-12-13T00:00:00,0.022,0.0516
2024-12-14T00:00:00,0.0516,0.0385
2024-12-15T00:00:00,0.0385,0.0034
2024-12-16T00:00:00,0.0033,0.0334
2024-12-17T00:00:00,0.0334,0.0558
2024-12-18T00:00:00,0.0558,0.0229
2024-12-19T00:00:00,0.0228,0.0282
2024-12-20T00:00:00,0.0283,0.042
2024-12-21T00:00:00,0.0419,0.031
2024-12-22T00:00:00,0.0312,0.0344
2024-12-23T00:00:00,0.0346,0.0215
2024-12-24T00:00:00,0.0216,0.0369
2024-12-25T00:00:00,0.0372,0.0502
2024-12-26T00:00:00,0.0503,0.0424
2024-12-27T00:00:00,0.0425,0.0426
2024-12-28T00:00:00,0.0426,0.0429
2024-12-29T00:00:00,0.0429,0.0408
